amenity,x_meters,y_meters,latitude,longitude,kmeans_cluster,dbscan_cluster
restaurant,-9348594.250214987,4301416.293692799,36.0057769,-83.979851,4,8
pharmacy,-9348618.128245762,4301381.052203206,36.0055208,-83.9800655,4,8
restaurant,-9347836.743344035,4301772.265301078,36.0083637,-83.9730462,4,8
restaurant,-9347160.989507124,4302680.742154353,36.0149651,-83.9669758,4,8
restaurant,-9347373.754449878,4302295.75798887,36.0121677,-83.9688871,4,8
fast_food,-9347878.432493338,4301734.999750042,36.0080929,-83.9734207,4,8
pub,-9348610.970402503,4301400.165984021,36.0056597,-83.9800012,4,8
restaurant,-9347391.331797473,4302468.18307473,36.0134206,-83.969045,4,8
fuel,-9348186.208621483,4301682.11536392,36.0077086,-83.9761855,4,8
fuel,-9347506.335963411,4302120.486961582,36.0108941,-83.9700781,4,8
fuel,-9347132.8813357,4302738.393243689,36.015384,-83.9667233,4,8
pharmacy,-9360435.816520326,4288584.6306736,35.9124742,-84.0862256,2,3
fast_food,-9360527.254350062,4288764.741495578,35.9137846,-84.087047,2,3
restaurant,-9360844.592822466,4288550.2966994755,35.9122244,-84.0898977,2,3
restaurant,-9360642.358703543,4289047.050319831,35.9158385,-84.088081,2,3
fast_food,-9360557.97852952,4288823.198434603,35.9142099,-84.087323,2,3
atm,-9360806.84438314,4288685.131704537,35.9132054,-84.0895586,2,3
post_office,-9359312.524934577,4281277.977861107,35.8592962,-84.0761349,2,10
fuel,-9355559.610941462,4292639.331067213,35.941969,-84.0424219,0,-1
restaurant,-9360708.426821329,4289186.839816442,35.9168555,-84.0886745,2,3
restaurant,-9351151.025147576,4291342.945893967,35.93254,-84.0028189,0,-1
fast_food,-9351164.583861556,4291340.127534904,35.9325195,-84.0029407,0,-1
pub,-9342427.796078086,4303980.188690811,36.0244065,-83.9244568,1,1
parking,-9342437.369554294,4303809.625219886,36.0231673,-83.9245428,1,1
fast_food,-9343078.859251939,4305001.285738244,36.0318247,-83.9303054,1,1
restaurant,-9342386.106928783,4296001.042563774,35.9664145,-83.9240823,3,0
bar,-9342258.657243773,4296113.798363727,35.9672343,-83.9229374,3,0
restaurant,-9341972.63294413,4296245.096114546,35.9681889,-83.920368,3,0
bar,-9341744.12742538,4296401.593663742,35.9693267,-83.9183153,3,0
cafe,-9341759.71215409,4296502.785976135,35.9700624,-83.9184553,3,0
bar,-9341797.649836551,4296511.300093,35.9701243,-83.9187961,3,0
cafe,-9341873.73670851,4296498.329478206,35.97003,-83.9194796,3,0
bar,-9339710.810134344,4295190.673920414,35.9605224,-83.9000497,3,-1
restaurant,-9341828.429675756,4296046.582121994,35.9667456,-83.9190726,3,0
fast_food,-9349254.775545558,4292582.4485628875,35.9415553,-83.9857846,0,5
fast_food,-9360584.160873756,4288857.437055764,35.914459,-84.0875582,2,3
restaurant,-9341761.660245178,4296586.056801549,35.9706678,-83.9184728,3,0
restaurant,-9342004.54824214,4295715.142125365,35.9643358,-83.9206547,3,0
cafe,-9342045.246647974,4295658.477323851,35.9639238,-83.9210203,3,0
restaurant,-9348629.171139248,4293301.180962563,35.9467824,-83.9801647,0,5
restaurant,-9348662.611514283,4293258.788030458,35.9464741,-83.9804651,0,5
pharmacy,-9348944.516992766,4296866.148012102,35.9727041,-83.9829975,4,9
post_office,-9352505.53844765,4293564.466362971,35.9486971,-84.0149867,0,-1
fast_food,-9352368.971696347,4293855.026884828,35.9508101,-84.0137599,0,-1
fuel,-9349939.95814334,4295268.956075554,35.9610916,-83.9919397,0,-1
restaurant,-9356836.924174672,4290358.393182313,35.9253783,-84.0538962,0,11
place_of_worship,-9360313.799226465,4289939.837164712,35.9223335,-84.0851295,2,3
place_of_worship,-9347341.482929496,4299264.433373041,35.9901378,-83.9685972,4,-1
college,-9347899.505272945,4294886.600135157,35.9583114,-83.97361,3,-1
restaurant,-9338640.885112483,4293029.198044076,35.9448044,-83.8904384,3,-1
library,-9344234.455753913,4293257.055465229,35.9464615,-83.9406863,3,0
veterinary,-9344263.955418974,4293185.841773195,35.9459436,-83.9409513,3,0
veterinary,-9344137.218178706,4293065.2649525795,35.9450667,-83.9398128,3,0
animal_shelter,-9346018.695684297,4294506.568005923,35.955548,-83.9567144,3,-1
fast_food,-9342388.56708953,4300352.7419001,35.9980477,-83.9241044,1,-1
bank,-9342440.441972239,4300443.2660621125,35.9987056,-83.9245704,1,-1
fast_food,-9342440.820458509,4300508.142864073,35.9991771,-83.9245738,1,-1
charging_station,-9358248.488713779,4290330.5421007825,35.9251757,-84.0665765,0,-1
fuel,-9352735.324140547,4297886.23186689,35.9801198,-84.0170509,4,-1
fast_food,-9363680.289871188,4287363.930682248,35.9035924,-84.1153712,2,-1
fast_food,-9352214.816465495,4291305.221187372,35.9322656,-84.0123751,0,-1
dentist,-9351533.229487266,4291537.648156139,35.9339562,-84.0062523,0,-1
restaurant,-9352949.469444986,4287487.522761887,35.9044917,-84.0189746,0,-1
fast_food,-9366649.559176914,4287327.717768052,35.9033289,-84.1420446,2,7
fuel,-9366829.106383614,4287507.794031002,35.9046392,-84.1436575,2,7
restaurant,-9341864.608510265,4295602.44547831,35.9635164,-83.9193976,3,0
restaurant,-9342140.658583533,4296812.998488583,35.9723177,-83.9218774,3,0
cafe,-9342158.33611867,4298381.624124589,35.9837209,-83.9220362,3,0
